,Predictions,open,close,high,low,volume,Symbol,Days,Price,Strike,Vol,Call,Put,Call Delta,Put Delta,Prediciton Date
2019-01-15,buy,1.194,1.1867,1.1944,1.1842,5217,EU3F9,3.0,1.14605,1.145,0.096861983,0.0044,0.0034,0.0,-0.455076683,2019-01-15
2019-01-16,buy,1.187,1.1838,1.1883,1.1837,3410,EU3F9,2.0,1.14565,1.145,0.077115112,0.0028,0.0022,0.0,-0.457140976,2019-01-16
2019-02-05,buy,1.1872,1.1838,1.1875,1.1834,3141,EUUG9,3.0,1.14485,1.145,0.06495935,0.0025,0.0027,0.0,-0.507984294,2019-02-05
2019-02-06,buy,1.1839,1.1797,1.1840000000000002,1.1791,2824,EUUG9,2.0,1.1402,1.14,0.068776567,0.0023,0.0021,0.0,-0.484423773,2019-02-06
2019-02-11,buy,1.1752,1.1708,1.1762,1.17,3394,EU3G9,4.0,1.13085,1.13,0.073584166,0.0038,0.003,0.0,-0.458360355,2019-02-11
2019-02-13,sell,1.1766,1.1706,1.177,1.1683,4412,EU3G9,2.0,1.1301,1.13,0.080186316,0.0026,0.0025,0.507329663,0.0,2019-02-13
2019-03-04,sell,1.1777,1.1743,1.1782,1.1722,3027,EUUH9,4.0,1.13435,1.135,0.077747011,0.0033,0.0039,0.472589601,0.0,2019-03-04
2019-03-25,sell,1.1692,1.171,1.1726,1.1689,4177,EU5H9,4.0,1.1392,1.14,0.068533783,0.0028,0.0036,0.461241134,0.0,2019-03-25
2019-03-26,sell,1.1711,1.1646,1.172,1.1643,4821,EU5H9,3.0,1.1358,1.135,0.06744482,0.0031,0.0023,0.548590722,0.0,2019-03-26
2019-03-27,sell,1.1646,1.1643,1.1678,1.1632,6489,EU5H9,2.0,1.13425,1.135,0.079637093,0.0022,0.0029,0.453741047,0.0,2019-03-27
2019-04-02,sell,1.1587,1.1608,1.161,1.1568,4351,EUUJ9,3.0,1.12695,1.1275,0.060550914,0.0021,0.0027,0.464242558,0.0,2019-04-02
2019-04-08,sell,1.1609,1.1647,1.1656,1.1601,2964,WE2J9,2.0,1.13285,1.1325,0.079949923,0.0027,0.0024,0.523031999,0.0,2019-04-08
2019-04-09,sell,1.1647,1.1640000000000001,1.1664,1.1635,3589,EU2J9,3.0,1.13325,1.1325,0.076491565,0.0034,0.0027,0.540592763,0.0,2019-04-09
2019-04-16,sell,1.1677,1.1671,1.1688,1.1648,4874,EU3J9,2.0,1.1347,1.135,0.062472406,0.0018,0.0021,0.476134113,0.0,2019-04-16
2019-04-23,sell,1.162,1.1577,1.1628,1.1559,4181,EU4J9,3.0,1.1268,1.1275,0.056556706,0.0019,0.0026,0.450986799,0.0,2019-04-23
2019-04-24,sell,1.1578,1.1518,1.1588,1.1506,5276,EU4J9,2.0,1.1193,1.12,0.087205582,0.0024,0.0031,0.460262749,0.0,2019-04-24
2019-04-29,buy,1.1517,1.1546,1.1551,1.1506,3699,WE1K9,2.0,1.1229,1.1225,0.07932846,0.0027,0.0023,0.0,-0.473183918,2019-04-29
2019-04-30,buy,1.1546,1.1578,1.1589,1.1535,5266,EUUK9,3.0,1.12665,1.1275,0.075463729,0.0026,0.0034,0.0,-0.543992244,2019-04-30
2019-05-06,buy,1.1547,1.156,1.1563,1.1533,4452,EU2K9,4.0,1.12435,1.125,0.064077312,0.0026,0.0033,0.0,-0.533797756,2019-05-06
2019-05-07,buy,1.156,1.1555,1.1571,1.1519,6206,EU2K9,3.0,1.122,1.1225,0.069790199,0.0025,0.003,0.0,-0.527766682,2019-05-07
2019-05-08,buy,1.1555,1.1539,1.1565,1.1534,4812,EU2K9,2.0,1.1229,1.1225,0.069406855,0.0024,0.002,0.0,-0.469861084,2019-05-08
2019-05-20,buy,1.1494,1.1502,1.1515,1.1491,3363,EU4K9,4.0,1.11935,1.12,0.054571391,0.0022,0.0028,0.0,-0.54043237,2019-05-20
2019-05-29,buy,1.1497,1.1467,1.1501,1.1456,3247,EU5K9,2.0,1.1151,1.115,0.055786632,0.0018,0.0017,0.0,-0.489991863,2019-05-29
2019-06-03,sell,1.1512,1.1579,1.1589,1.1488,3541,WE1M9,2.0,1.1271,1.1275,0.078653506,0.0023,0.0027,0.475354219,0.0,2019-06-03
2019-06-04,sell,1.158,1.1587,1.1603,1.1552,4110,EUUM9,3.0,1.1271,1.1275,0.093870229,0.0035,0.0039,0.484218485,0.0,2019-06-04
2019-06-10,sell,1.1632,1.1634,1.1645,1.161,2547,WE2M9,2.0,1.1404,1.14,0.059413725,0.002,0.0016,0.536453341,0.0,2019-06-10
2019-06-11,sell,1.1634,1.1652,1.1657,1.1621,3176,EU2M9,3.0,1.142,1.1425,0.058240819,0.002,0.0025,0.465268439,0.0,2019-06-11
2019-06-12,sell,1.1651,1.1607,1.1662,1.1602,564,EU2M9,2.0,1.13725,1.1375,0.059970053,0.0017,0.0019,0.47837177,0.0,2019-06-12
2019-06-17,sell,1.1533,1.1543,1.1563,1.1518,3217,WE3M9,2.0,1.1299,1.13,0.065523542,0.0019,0.002,0.492540071,0.0,2019-06-17
2019-06-18,sell,1.1543,1.1504,1.1555,1.1493,9853,EU3M9,3.0,1.1275,1.1275,0.089694304,0.0034,0.0034,0.501418791,0.0,2019-06-18
2019-06-19,sell,1.1505,1.158,1.1581,1.1498,9015,EU3M9,2.0,1.13265,1.1325,0.07829458,0.0024,0.0023,0.51121853,0.0,2019-06-19
2019-06-24,sell,1.1688,1.1713,1.1716,1.1679,4707,WE4M9,2.0,1.1476,1.1475,0.070760548,0.0022,0.0021,0.510085814,0.0,2019-06-24
2019-06-25,sell,1.1713,1.1661,1.1718,1.165,10281,EU4M9,3.0,1.1448,1.145,0.067508938,0.0025,0.0027,0.488723421,0.0,2019-06-25
2019-06-26,sell,1.1662,1.1662,1.1698,1.1654,7163,EU4M9,2.0,1.1443,1.145,0.073761638,0.0019,0.0026,0.450649932,0.0,2019-06-26
2019-07-01,sell,1.1653,1.1579,1.1659,1.1575,6947,WE1N9,2.0,1.13535,1.135,0.05834778,0.0019,0.0016,0.532981289,0.0,2019-07-01
2019-07-03,sell,1.1586,1.1578,1.1611,1.1567,5445,EUUN9,2.0,1.13475,1.135,0.060143406,0.0017,0.0019,0.478363407,0.0,2019-07-03
2019-07-08,buy,1.1522,1.1507,1.1529,1.1502,2229,WE2N9,2.0,1.1276,1.1275,0.045201319,0.0014,0.0013,0.0,-0.484598679,2019-07-08
2019-07-09,buy,1.1505,1.15,1.1512,1.1487,2293,EU2N9,3.0,1.127,1.1275,0.059181245,0.002,0.0025,0.0,-0.534643199,2019-07-09
2019-07-17,buy,1.15,1.1524,1.1524,1.1486,2522,EU3N9,2.0,1.1277,1.1275,0.043656106,0.0014,0.0012,0.0,-0.474628182,2019-07-17
2019-07-23,buy,1.1476,1.1423,1.1477,1.1420000000000001,2999,EU4N9,3.0,1.1199,1.12,0.086043878,0.0034,0.0035,0.0,-0.503013212,2019-07-23
2019-07-24,buy,1.1423,1.1413,1.1437,1.1405,3236,EU4N9,2.0,1.11835,1.1175,0.112788321,0.0038,0.0029,0.0,-0.457626375,2019-07-24
2019-07-29,buy,1.1403,1.1417,1.1425,1.1387,2159,EU1Q9,4.0,1.119,1.12,0.078350671,0.003,0.004,0.0,-0.544160219,2019-07-29
2019-07-30,buy,1.1416,1.1428,1.1437,1.1406,2347,EU1Q9,3.0,1.1199,1.12,0.083407917,0.0031,0.0032,0.0,-0.503601219,2019-07-30
2019-07-31,buy,1.1427,1.1316,1.1435,1.1304,5602,EU1Q9,2.0,1.11275,1.1125,0.090396695,0.0028,0.0025,0.0,-0.483598658,2019-07-31
2019-08-05,buy,1.1392,1.148,1.1517,1.1383,5547,EUUQ9,4.0,1.1239,1.125,0.079035424,0.003,0.0041,0.0,-0.548006444,2019-08-05
2019-08-07,buy,1.148,1.1474,1.1508,1.1445,6921,EUUQ9,2.0,1.1249,1.125,0.075517104,0.0022,0.0023,0.0,-0.506101287,2019-08-07
2019-08-12,sell,1.1468,1.145,1.1493,1.1424,3270,WE2Q9,2.0,1.12515,1.125,0.073906823,0.0023,0.0021,0.511873607,0.0,2019-08-12
2019-08-13,sell,1.145,1.1432,1.149,1.1427,4091,EU3Q9,3.0,1.12045,1.12,0.06359041,0.0026,0.0022,0.53105351,0.0,2019-08-13
2019-08-19,sell,1.1347,1.1342,1.137,1.1332,2329,EU4Q9,4.0,1.1106,1.11,0.056508565,0.0028,0.0022,0.539415527,0.0,2019-08-19
2019-08-20,sell,1.1342,1.1349,1.1361,1.1320000000000001,2822,EU4Q9,3.0,1.11195,1.1125,0.054514329,0.0018,0.0023,0.457795409,0.0,2019-08-20
2019-08-28,sell,1.1334,1.1327,1.1346,1.1321,1865,EU5Q9,2.0,1.10955,1.11,0.050688869,0.0013,0.0017,0.452419092,0.0,2019-08-28
2019-09-03,sell,1.1177,1.1217,1.1221,1.1169,3815,EUUU9,3.0,1.0978,1.0975,0.074281171,0.0029,0.0026,0.518612205,0.0,2019-09-03
2019-09-09,sell,1.1264,1.1281,1.1305,1.1258,1831,EU2U9,4.0,1.11335,1.1125,0.083490725,0.0041,0.0033,0.538287741,0.0,2019-09-09
2019-09-10,sell,1.128,1.1286,1.1296,1.1267,2155,EU2U9,3.0,1.1127,1.1125,0.104254325,0.004,0.0038,0.509878531,0.0,2019-09-10
2019-09-11,sell,1.1289,1.1245,1.129,1.1221,844,EU2U9,2.0,1.10855,1.1075,0.141447334,0.0047,0.0036,0.542551115,0.0,2019-09-11
2019-09-16,sell,1.1301,1.1241,1.1314,1.1225,4316,EU3U9,4.0,1.1081,1.1075,0.081990194,0.0039,0.0033,0.528187212,0.0,2019-09-16
2019-09-17,sell,1.1241,1.1295,1.1307,1.1222,3481,EU3U9,3.0,1.114,1.115,0.097959242,0.0032,0.0042,0.458144628,0.0,2019-09-17
2019-09-18,sell,1.1294,1.1263,1.1298,1.1242,3116,EU3U9,2.0,1.11035,1.11,0.071728499,0.0023,0.0019,0.527720677,0.0,2019-09-18
2019-10-01,sell,1.1106,1.1152,1.1159,1.1096,3396,EUUV9,3.0,1.0996,1.1,0.064568065,0.0022,0.0026,0.474343196,0.0,2019-10-01
2019-10-07,sell,1.119,1.1183,1.1211,1.1172,2266,WE2V9,2.0,1.1026,1.1025,0.053336348,0.0016,0.0015,0.510999101,0.0,2019-10-07
2019-10-09,sell,1.1172,1.1194,1.1199,1.1163,2236,EU2V9,2.0,1.10245,1.1025,0.063356862,0.0018,0.0019,0.496459723,0.0,2019-10-09
2019-10-14,sell,1.1235,1.1234,1.1246,1.1217,1990,WE3V9,2.0,1.1077,1.1075,0.061594482,0.0019,0.0017,0.518637226,0.0,2019-10-14
2019-10-15,sell,1.1234,1.1233,1.1248,1.1194,4582,EU3V9,3.0,1.1081,1.1075,0.069514561,0.0029,0.0023,0.538148693,0.0,2019-10-15
2019-10-16,sell,1.1234,1.1278,1.1288,1.1224,4653,EU3V9,2.0,1.11185,1.1125,0.072483033,0.0018,0.0025,0.452156182,0.0,2019-10-16
2019-10-22,sell,1.1348,1.1314,1.1354,1.1312,2867,EU4V9,3.0,1.1165,1.1175,0.084569895,0.0027,0.0037,0.451043009,0.0,2019-10-22
2019-10-23,sell,1.1315,1.133,1.1337,1.1303,1869,EU4V9,2.0,1.11685,1.1175,0.074266258,0.0019,0.0025,0.453169846,0.0,2019-10-23
2019-10-29,sell,1.1288,1.13,1.1311,1.1266,2278,EU1X9,3.0,1.11455,1.115,0.071916984,0.0025,0.0029,0.474414165,0.0,2019-10-29
2019-11-05,sell,1.131,1.1255,1.1326,1.1249,3615,EUUX9,3.0,1.10935,1.11,0.057058098,0.0018,0.0025,0.452258374,0.0,2019-11-05
2019-11-06,sell,1.1255,1.1241,1.1278,1.1238,2308,EUUX9,2.0,1.10965,1.11,0.052575208,0.0014,0.0017,0.464300287,0.0,2019-11-06
2019-11-13,sell,1.1195,1.1178,1.12,1.1175,2771,EU3X9,2.0,1.10245,1.1025,0.049919462,0.0014,0.0015,0.49505978,0.0,2019-11-13
2019-11-18,sell,1.1238,1.125,1.1267,1.123,2426,EU4X9,4.0,1.1094,1.11,0.049794119,0.0019,0.0025,0.457127639,0.0,2019-11-18
2019-11-19,sell,1.125,1.1249,1.126,1.124,1789,EU4X9,3.0,1.10965,1.11,0.05333568,0.0018,0.0022,0.472787987,0.0,2019-11-19
2019-11-25,sell,1.1193,1.1184,1.1203,1.1175,2660,WE4X9,2.0,1.10235,1.1025,0.044741419,0.0012,0.0014,0.481922534,0.0,2019-11-25
2019-12-10,sell,1.1229,1.1251,1.1258,1.1227,1816,EU2Z9,3.0,1.117,1.1175,0.097031791,0.0034,0.0039,0.479571074,0.0,2019-12-10
2019-12-16,sell,1.1289,1.1304,1.1315,1.1284,2255,EU3Z9,4.0,1.12175,1.1225,0.057038902,0.0022,0.0029,0.453733641,0.0,2019-12-16
2019-12-24,sell,1.1238,1.1233,1.1243,1.1219,692,EU4Z9,3.0,1.115,1.115,0.018673802,0.0007,0.0007,0.500246243,0.0,2019-12-24
2019-12-30,sell,1.1338,1.1344,1.1362,1.1323,2078,EUUF0,4.0,1.12565,1.125,0.047942475,0.0025,0.0018,0.549609243,0.0,2019-12-30
2020-01-14,sell,1.1268,1.1263,1.1275,1.1234,1892,EU3F0,3.0,1.1171,1.1175,0.044946949,0.0015,0.0019,0.462850966,0.0,2020-01-14
2020-01-22,sell,1.1207,1.1208,1.1223,1.1195,2318,EU4F0,2.0,1.11295,1.1125,0.052526309,0.0018,0.0013,0.547678316,0.0,2020-01-22
2020-01-27,sell,1.1148,1.1141,1.1159,1.1131,1765,WE5F0,2.0,1.1049,1.105,0.046351896,0.0013,0.0014,0.488582002,0.0,2020-01-27
2020-01-28,sell,1.1143,1.1133,1.1147,1.1118,1732,EU5F0,3.0,1.1049,1.105,0.055010225,0.002,0.0021,0.49301973,0.0,2020-01-28
2020-01-29,sell,1.1132,1.1134,1.114,1.1111,1746,EU5F0,2.0,1.1051,1.105,0.042686533,0.0013,0.0012,0.513454229,0.0,2020-01-29
2020-02-04,buy,1.1175,1.1149,1.1179,1.1148,2389,EUUG0,3.0,1.107,1.1075,0.043913892,0.0014,0.0019,0.0,-0.548395098,2020-02-04
2020-02-05,buy,1.1149,1.1108,1.1162,1.1106,2060,EUUG0,2.0,1.1023,1.1025,0.048167154,0.0013,0.0015,0.0,-0.522445076,2020-02-05
2020-02-11,buy,1.1019,1.1022,1.1035,1.1002,3111,EU2G0,3.0,1.09445,1.095,0.054032688,0.0017,0.0023,0.0,-0.54352096,2020-02-11
2020-02-24,buy,1.0923,1.0963,1.0975,1.0906,4208,EU4G0,4.0,1.08565,1.085,0.067152535,0.0032,0.0026,0.0,-0.462548282,2020-02-24
2020-02-25,buy,1.0962,1.0969,1.0992,1.0932,5044,EU4G0,3.0,1.0894,1.0875,0.081950536,0.004,0.0021,0.0,-0.474306753,2020-02-25
2020-02-27,buy,1.1011,1.1094,1.1105,1.1005,10160,MO1H0,4.0,1.0998,1.1,0.075812196,0.0032,0.0034,0.0,-0.507838863,2020-02-27
2020-03-02,buy,1.1148,1.1241,1.1282,1.1137,12755,WE1H0,2.0,1.1173,1.1175,0.142165094,0.0041,0.0043,0.0,-0.505901787,2020-03-02
2020-03-03,buy,1.1242,1.1257,1.1308,1.1193,10933,EUUH0,3.0,1.11865,1.1175,0.115174992,0.0049,0.0038,0.0,-0.455161303,2020-03-03
2020-03-04,buy,1.1256,1.1231,1.1284,1.1191,7486,EUUH0,2.0,1.1146,1.115,0.091450232,0.0025,0.0029,0.0,-0.523046757,2020-03-04
2020-03-05,buy,1.1233,1.1326,1.1341,1.1213,8570,MO2H0,4.0,1.1251,1.125,0.075505457,0.0034,0.0033,0.0,-0.493676513,2020-03-05
2020-03-06,buy,1.1324,1.1381,1.1449,1.1312,13840,MO2H0,3.0,1.13635,1.1375,0.09597097,0.0031,0.0042,0.0,-0.549811217,2020-03-06
2020-03-09,buy,1.1507,1.1486,1.1577,1.1458,12611,WE2H0,2.0,1.1509,1.15,0.191936168,0.0063,0.0054,0.0,-0.472647171,2020-03-09
2020-03-10,buy,1.1486,1.1420000000000001,1.1493,1.1367,11463,EU2H0,3.0,1.13395,1.1325,0.165209223,0.0069,0.0055,0.0,-0.459791983,2020-03-10
2020-03-11,buy,1.1427,1.1401,1.1455,1.1347,993,EU2H0,2.0,1.13235,1.1325,0.178632031,0.0053,0.0054,0.0,-0.502201228,2020-03-11
2020-03-12,buy,1.1402,1.1304,1.1411,1.1154,5227,MO3H0,4.0,1.1216,1.12,0.125263293,0.0064,0.0048,0.0,-0.451529762,2020-03-12
2020-03-13,buy,1.1305,1.1202,1.1311,1.1157,10410,MO3H0,3.0,1.11245,1.1125,0.129687418,0.0048,0.0049,0.0,-0.499474873,2020-03-13
2020-03-16,buy,1.1218,1.1281,1.1326,1.1199,9484,WE3H0,2.0,1.1227,1.1225,0.171680179,0.0052,0.005,0.0,-0.491413476,2020-03-16
2020-03-17,buy,1.128,1.1121,1.1287,1.1053,12965,EU3H0,3.0,1.10495,1.105,0.162502284,0.006,0.0061,0.0,-0.498601906,2020-03-17
2020-03-18,buy,1.1121,1.0998,1.1142,1.0898,14236,EU3H0,2.0,1.09265,1.0925,0.201714197,0.0059,0.0057,0.0,-0.493180319,2020-03-18
2020-03-19,buy,1.1002,1.0827,1.1049,1.0749,19579,MO4H0,4.0,1.0719,1.07,0.208192478,0.0098,0.0079,0.0,-0.461313378,2020-03-19
2020-03-20,buy,1.0826,1.0785,1.0919,1.0723,15757,MO4H0,3.0,1.06915,1.0675,0.174718098,0.0071,0.0055,0.0,-0.454877128,2020-03-20
2020-03-23,buy,1.0801,1.089,1.0918,1.0756,11607,WE4H0,2.0,1.07715,1.0775,0.205918465,0.0056,0.006,0.0,-0.507231277,2020-03-23
2020-03-24,buy,1.0896,1.0896,1.0979,1.0835,11264,EU4H0,3.0,1.07995,1.08,0.174516872,0.0063,0.0064,0.0,-0.498342356,2020-03-24
2020-03-25,buy,1.0895,1.1,1.1019,1.0871,9017,EU4H0,2.0,1.09085,1.09,0.134945768,0.0043,0.0035,0.0,-0.462549788,2020-03-25
2020-03-26,buy,1.1,1.1163,1.117,1.0983,10005,MO5H0,4.0,1.108,1.1075,0.104338811,0.0048,0.0043,0.0,-0.480208772,2020-03-26
2020-03-27,buy,1.1162,1.1226,1.1235,1.1039,10030,MO5H0,3.0,1.1157,1.115,0.105252591,0.0043,0.0036,0.0,-0.469474495,2020-03-27
2020-03-30,buy,1.1166,1.1108,1.1191,1.1067,7334,WE1J0,2.0,1.10635,1.1075,0.149698703,0.0038,0.005,0.0,-0.540968491,2020-03-30
2020-03-31,buy,1.1105,1.1098,1.1118,1.1008,8662,EUUJ0,3.0,1.10495,1.105,0.135727949,0.005,0.0051,0.0,-0.499327211,2020-03-31
2020-04-01,buy,1.1098,1.1013,1.1112,1.0979,6135,EUUJ0,2.0,1.0957,1.095,0.143830879,0.0045,0.0038,0.0,-0.470593437,2020-04-01
2020-04-02,buy,1.1012,1.0917,1.1039,1.0893,6529,MO1J0,4.0,1.0873,1.0875,0.10039411,0.0042,0.0044,0.0,-0.505518066,2020-04-02
2020-04-06,buy,1.0885,1.0886,1.0905,1.084,5233,WE2J0,2.0,1.08205,1.0825,0.099398636,0.0026,0.0031,0.0,-0.524582679,2020-04-06
2020-04-07,buy,1.0887,1.0931,1.0999,1.0885,7148,EU2J0,2.0,1.09275,1.0925,0.114079063,0.0034,0.0032,0.0,-0.486097892,2020-04-07
2020-04-09,sell,1.0936,1.0996,1.102,1.0909,5738,MO2J0,4.0,1.09555,1.095,0.046928189,0.0023,0.0018,0.543976758,0.0,2020-04-09
2020-04-13,sell,1.1001,1.1014,1.1034,1.0959999999999999,3107,WE3J0,2.0,1.09425,1.095,0.106627067,0.0027,0.0035,0.462256295,0.0,2020-04-13
2020-04-14,sell,1.1013,1.1043,1.1055,1.0982,3277,EU3J0,3.0,1.09995,1.1,0.0957229,0.0035,0.0036,0.499316775,0.0,2020-04-14
2020-04-20,sell,1.0925,1.09,1.0961,1.0888,5971,WE4J0,2.0,1.08765,1.0875,0.086923166,0.0026,0.0024,0.510845004,0.0,2020-04-20
2020-04-21,sell,1.0899,1.0912,1.0943,1.0879,6992,EU4J0,3.0,1.08665,1.0875,0.101958274,0.0033,0.0042,0.465091178,0.0,2020-04-21
2020-04-22,sell,1.0912,1.087,1.0947,1.0864,5640,EU4J0,2.0,1.08325,1.0825,0.11118811,0.0035,0.0028,0.540179933,0.0,2020-04-22
2020-04-23,sell,1.087,1.0831,1.0907,1.0814,9837,MO4J0,4.0,1.07975,1.08,0.084420203,0.0035,0.0037,0.490469648,0.0,2020-04-23
2020-04-27,sell,1.0892,1.0884,1.0921,1.0877,4593,WE5J0,2.0,1.08435,1.085,0.080646625,0.002,0.0026,0.454740337,0.0,2020-04-27
2020-04-28,sell,1.0883,1.0906,1.0948,1.0869,6226,EU1K0,3.0,1.0847,1.085,0.105945615,0.0037,0.004,0.489150508,0.0,2020-04-28
2020-04-29,sell,1.0905,1.0921,1.0943,1.0897,5673,EU1K0,2.0,1.08805,1.0875,0.100588804,0.0032,0.0026,0.532228571,0.0,2020-04-29
2020-05-04,sell,1.0999,1.0959999999999999,1.1006,1.0952,4454,EUUK0,4.0,1.0915,1.0925,0.105968386,0.0041,0.0051,0.466907843,0.0,2020-05-04
2020-05-05,sell,1.0959999999999999,1.0891,1.0984,1.0883,7763,EUUK0,3.0,1.086,1.085,0.092293445,0.0039,0.0029,0.54931787,0.0,2020-05-05
2020-05-08,sell,1.0902,1.0895,1.0932,1.087,4746,MO2K0,3.0,1.085,1.085,0.038523358,0.0014,0.0014,0.500622232,0.0,2020-05-08
2020-05-11,sell,1.0903,1.0861,1.0905,1.0839,4791,EU3K0,4.0,1.08165,1.0825,0.081680425,0.0031,0.0039,0.462306436,0.0,2020-05-11
2020-05-13,sell,1.0905,1.0863,1.0952,1.0862,7364,EU3K0,2.0,1.0822,1.0825,0.085448345,0.0023,0.0026,0.48104494,0.0,2020-05-13
2020-05-18,buy,1.0878,1.0962,1.0981,1.0853,6256,WE3K0,2.0,1.092,1.0925,0.084548569,0.0022,0.0027,0.0,-0.531823206,2020-05-18
2020-05-19,buy,1.0963,1.0993,1.1029,1.0962,5654,EU4K0,3.0,1.0952,1.095,0.084435633,0.0032,0.003,0.0,-0.488225891,2020-05-19
2020-05-26,buy,1.0971,1.1014,1.1048,1.0968,6557,EU5K0,3.0,1.0998,1.1,0.075461633,0.0027,0.0029,0.0,-0.510198239,2020-05-26
2020-05-27,buy,1.1013,1.1064,1.1086,1.0986,10608,EU5K0,2.0,1.09945,1.1,0.088292148,0.0023,0.0028,0.0,-0.533817741,2020-05-27
2020-05-28,buy,1.1062,1.1141,1.1146,1.1043,7304,MO1M0,4.0,1.10925,1.11,0.069291808,0.0027,0.0034,0.0,-0.538178097,2020-05-28
2020-05-29,buy,1.1142,1.1157,1.1197,1.1131,8954,MO1M0,3.0,1.1101,1.11,0.038740814,0.0015,0.0014,0.0,-0.488276236,2020-05-29
2020-06-01,buy,1.1184,1.1177,1.1204,1.1152,4610,EUUM0,4.0,1.11355,1.1125,0.087890714,0.0044,0.0034,0.0,-0.455007382,2020-06-01
2020-06-02,buy,1.1177,1.1259,1.1262,1.1166,7756,EUUM0,3.0,1.11745,1.1175,0.099495578,0.0037,0.0038,0.0,-0.500463563,2020-06-02
2020-06-03,buy,1.1258,1.1267,1.1308,1.1235,8186,EUUM0,2.0,1.12405,1.125,0.141909973,0.0037,0.0047,0.0,-0.534763478,2020-06-03
2020-06-04,buy,1.1268,1.1389,1.1412,1.1245,12588,MO2M0,4.0,1.1375,1.1375,0.078000544,0.0035,0.0035,0.0,-0.498456939,2020-06-04
2020-06-08,buy,1.1339,1.1337,1.1369,1.1317,4998,WE2M0,2.0,1.133,1.1325,0.103537051,0.0033,0.0028,0.0,-0.472061412,2020-06-08
2020-06-09,buy,1.1336,1.1394,1.1414,1.1291,6214,EU2M0,3.0,1.13705,1.1375,0.114714936,0.0042,0.0046,0.0,-0.514493853,2020-06-09
2020-06-10,buy,1.1394,1.1413,1.1471,1.1374,1575,EU2M0,2.0,1.1418,1.1425,0.120426039,0.0033,0.004,0.0,-0.529389702,2020-06-10
2020-06-11,buy,1.1406,1.1342,1.1451,1.1325,2566,MO3M0,4.0,1.13245,1.1325,0.089033134,0.004,0.004,0.0,-0.500229973,2020-06-11
2020-06-12,buy,1.1343,1.13,1.139,1.1261,5875,MO3M0,3.0,1.1255,1.125,0.080228116,0.0033,0.0028,0.0,-0.472324901,2020-06-12
2020-06-15,buy,1.1311,1.1386,1.1396,1.1275,6507,WE3M0,2.0,1.13405,1.135,0.113768962,0.0029,0.0039,0.0,-0.543768562,2020-06-15
